graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,X,Y,Z
0,166,0,False,True,False,0.0,0.0,1.0,0.0,2.842106,8.2,5.625
0,167,0,False,False,True,1.0,0.0,0.0,0.0,11.0,9.0,1.0
0,168,0,False,False,True,1.0,0.0,0.0,0.0,7.0,7.0,3.0
0,169,0,False,False,True,1.0,0.0,0.0,0.0,9.0,15.0,1.0
0,170,0,False,False,True,1.0,0.0,0.0,0.0,7.0,15.0,3.0
0,171,0,False,False,True,1.0,0.0,0.0,0.0,15.0,1.0,3.0
0,172,0,False,False,True,1.0,0.0,0.0,0.0,3.0,15.0,1.0
0,173,0,False,False,True,1.0,0.0,0.0,0.0,11.0,15.0,3.0
0,174,0,False,False,True,0.0,0.0,0.0,1.0,17.0,3.0,5.625
0,175,0,False,False,True,1.0,0.0,0.0,0.0,11.0,5.0,3.0
0,176,0,False,False,True,1.0,0.0,0.0,0.0,5.0,5.0,3.0
0,177,0,False,False,True,1.0,0.0,0.0,0.0,11.0,13.0,3.0
0,178,0,False,False,True,1.0,0.0,0.0,0.0,19.0,3.0,1.0
0,179,0,False,False,True,1.0,0.0,0.0,0.0,9.0,13.0,3.0
0,180,0,False,False,True,1.0,0.0,0.0,0.0,9.0,7.0,1.0
0,181,0,False,False,True,1.0,0.0,0.0,0.0,1.0,9.0,1.0
0,182,0,False,False,True,1.0,0.0,0.0,0.0,13.0,11.0,1.0
0,183,0,False,False,True,1.0,0.0,0.0,0.0,11.0,13.0,1.0
0,184,0,False,False,True,1.0,0.0,0.0,0.0,5.0,7.0,1.0
0,185,0,False,False,True,1.0,0.0,0.0,0.0,17.0,13.0,3.0
0,186,0,False,False,True,0.0,1.0,0.0,0.0,10.5,4.8,12.125
